,Precision,Recall,F1,ROC-AUC
Logisticregression,0.9555236728837877,0.7753201396973225,0.8560411311053985,0.8745861508103602
Randomforest,0.9216944801026957,0.8358556461001164,0.8766788766788767,0.8382912672660772
Xgboost,0.9060240963855422,0.8754365541327125,0.8904677323860273,0.8214318149918676
